Player,Total_Titles,Total_Titles_Text,GS,GS_Text,ATP1000,ATP Finale,Olympics,ATP1000+Finale,ATP1000+Finale_Text,WR,W,Matches
Jasza Szajrych,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.38571428571428573,27,70
Tyler Zink,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.390625,25,64
Lewie Lane,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.463768115942029,32,69
Andrea Bolla,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.373134328358209,25,67
Dominik Recek,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.234375,15,64
Winston Lin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.421875,54,128
Cliff Buchholz,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4765625,61,128
Ugo Nastasi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4032258064516129,50,124
Tim Goransson,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3181818181818182,7,22
Mauricio Estivariz,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.125,1,8
Milan Trneny,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3333333333333333,1,3
Dimitri Sturdza,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2755905511811024,35,127
Wieslaw Gasiorek,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.46153846153846156,60,130
Leon Schutt,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.35714285714285715,45,126
Janis Podzus,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3779527559055118,48,127
Alberto Cammarata,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.33070866141732286,42,127
Romain Sichez,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.41818181818181815,46,110
Robert Haybittel,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.1111111111111111,1,9
Nikola Martinovic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,1
Bertrand Contzler,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.375,3,8
Ruben Fernandez,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.38461538461538464,5,13
Michael Kogan,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3333333333333333,2,6
Chris Groer,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.25,1,4
Sandeep Kirtane,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,9
Bruno Fragoso,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.18181818181818182,2,11
Andrew Kratzmann,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2777777777777778,5,18
Marcelo Rebolledo,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2857142857142857,2,7
Roger Rasheed,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3055555555555556,11,36
Joseph Lizardo,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4583333333333333,11,24
Dacio Campos,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2222222222222222,4,18
Jan Norback,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.32,40,125
Armistead Neely,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.36607142857142855,41,112
Andrea Bacaloni,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4264705882352941,29,68
Pedro Rodenas,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6190476190476191,39,63
Andrej Nedic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5753424657534246,42,73
Kilian Feldbausch,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5396825396825397,34,63
Romain Faucon,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.30303030303030304,20,66
Nikolay Nedelchev,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4,26,65
Linang Xiao,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4520547945205479,33,73
Gian Marco Ortenzi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3333333333333333,22,66
Patrik Nema,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.49206349206349204,62,126
Tae Woo Lee,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4126984126984127,26,63
Aziz Kijametovic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.47619047619047616,30,63
Patrick Ofner,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5808823529411765,79,136
Warren Jacques,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.47058823529411764,80,170
Chieh Fu Wang,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.36220472440944884,46,127
Pablo Figueroa,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5652173913043478,26,46
Luigi Dagord,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3125,5,16
Nenad Toroman,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2,1,5
Efe Ustundag,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.25,3,12
Julien Chauvin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3448275862068966,10,29
Andrea Spizzica,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2857142857142857,2,7
Mathias Huning,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5,2,4
Steve Meister,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.40476190476190477,51,126
Roberto Vizcaino,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4523809523809524,57,126
Bruce Kleege,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.23809523809523808,10,42
Jean Thirouin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.44,55,125
Collin Johns,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.312,39,125
Dennis Uspensky,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.408,51,125
Raleigh Smith,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3870967741935484,48,124
Ettore Rossetti,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.35294117647058826,6,17
Joss Espasandin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.35454545454545455,39,110
Julien Mathieu,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4583333333333333,11,24
Markus Polessnig,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.25,1,4
Tiago Sousa,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.16666666666666666,1,6
Huntley Montgomery,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3125,5,16
Cary Franklin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,3
Martin Garcia,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4117647058823529,7,17
Oliver Freelove,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.125,1,8
Markus Wislsperger,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,1
Grant Silcock,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.16666666666666666,1,6
Pavel Hutka,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4112903225806452,51,124
Billy Higgins,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3652173913043478,42,115
Seydina Andre,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4,28,70
Yassine Dlimi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6349206349206349,40,63
Siddhant Banthia,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.35384615384615387,23,65
Jayden Court,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3333333333333333,21,63
Vlad Andrei Dumitru,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.08928571428571429,5,56
Alexander Klintcharov,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.24615384615384617,16,65
Yuanfeng Li,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3064516129032258,38,124
Luka Ilic,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4032258064516129,50,124
Dominic Weidinger,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3064516129032258,38,124
Sebastien Hette,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,3
Daiji Morii,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3333333333333333,2,6
Fares Ghasya,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4049586776859504,49,121
Hicham Khaddari,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4152542372881356,49,118
Emanuele Molina,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3217391304347826,37,115
Alexandr Kushakov,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.32231404958677684,39,121
Shane La Porte,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.16666666666666666,1,6
Marc Auradou,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.25,2,8
Catalin Gard,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3181818181818182,21,66
Lassi Ketola,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,7
Gaurav Natekar,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.1,1,10
Erhan Oral,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.1875,3,16
Pieter Aldrich,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.475,38,80
Nick Fulwood,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2916666666666667,7,24
Tony Mmoh,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.40816326530612246,20,49
Jaime Fermosell,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5,1,2
Filipp Kekercheni,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.36585365853658536,45,123
Martin Beran,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3902439024390244,48,123
Gordon Forbes,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6114285714285714,107,175
Gonzalo Lopez Fabero,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4090909090909091,9,22
Sang Woo Noh,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3770491803278688,46,122
Ilya Lebedev,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3813559322033898,45,118
Keith Patrick Crowley,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4067796610169492,48,118
Chris Klingemann,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.375,6,16
Peter Shults,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5,1,2
Tres Davis,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2608695652173913,6,23
Jose Ezequiel Lido,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,1
Piotr Szczepanik,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.125,1,8
Robert Witz,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.375,3,8
Brett Hansen Dent,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.125,1,8
Alvaro Jordan,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5079365079365079,32,63
Andy Kohlberg,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2777777777777778,15,54
Robert Reininger,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.34959349593495936,43,123
Jiri Granat,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3709677419354839,46,124
Patrick Brady,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5081967213114754,31,61
Mitsuki Wei Kang Leong,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4153846153846154,27,65
John Sperle,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4430379746835443,35,79
Karlis Ozolins,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.36065573770491804,22,61
Johan Alexander Rodriguez Rodriguez,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4262295081967213,26,61
William Grant,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5131578947368421,39,76
Mousa Alkotop,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.24193548387096775,15,62
Lautaro Agustin Falabella,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3684210526315789,28,76
Federico Bertuccioli,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2786885245901639,17,61
Tomohiro Masabayashi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3125,20,64
Cameron Silverman,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4344262295081967,53,122
Ryotaro Matsumura,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,1
Andreas Weber,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6,6,10
Shahbaaz Khan,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.1724137931034483,10,58
Ryota Kishi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3277310924369748,39,119
Nicolas Gustavo Kauer,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,3
Pavel Katliarov,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,1
Laurent Malouli,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.49166666666666664,59,120
Wan Gao,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.16666666666666666,1,6
David Luque Velasco,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,1
Valentin Frieden,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.16666666666666666,1,6
Yu Hui Lien,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3870967741935484,12,31
Eduardo Furusho,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.35294117647058826,6,17
Kent Kinnear,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.46808510638297873,44,94
Luke Jensen,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.22388059701492538,15,67
Mauro Menezes,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2857142857142857,10,35
Steve Faulk,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3557692307692308,37,104
Daniel Appelgren,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4297520661157025,52,121
Daniel Nolan,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.39669421487603307,48,121
Antonio Campo,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.36065573770491804,44,122
Ulf Schmidt,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.6535087719298246,149,228
Birger Andersson,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.35537190082644626,43,121
Peng Gao,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2,1,5
Omar Hedayet,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.30952380952380953,13,42
Steven Korteling,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.49586776859504134,60,121
Andrew Banks,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.391304347826087,9,23
Sonchat Ratiwatana,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3416666666666667,41,120
Julien Couly,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,2
Massimo Boscatto,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,4
Roman Smotlak,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4,2,5
Derek Tarr,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4049586776859504,49,121
Sean Hess,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3380281690140845,24,71
Alessandro Ragazzi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4166666666666667,25,60
Rishi Reddy,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.26666666666666666,16,60
Trent Bryde,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.36666666666666664,22,60
Lukas Ruepke,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4369747899159664,52,119
Andre Goransson,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.36666666666666664,22,60
Jacob Kahoun,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3050847457627119,18,59
Keith Wooldridge,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4358974358974359,51,117
Henry Craig,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.55,66,120
Miguel Merz,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.35294117647058826,6,17
Kenny Bun,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.25,15,60
Kaden Hensel,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5083333333333333,61,120
Robert Yim,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.35294117647058826,12,34
Vadim Davletshin,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.23076923076923078,6,26
Matt Klinger,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5,1,2
Tom Kempers,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3235294117647059,11,34
Jiu Hua Zhang,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5833333333333334,7,12
Hendrik Jan Davids,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.379746835443038,30,79
George Bezecny,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.26666666666666666,4,15
Blaine Willenborg,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.425,51,120
Stephen Warboys,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3409090909090909,30,88
Bernard Mignot,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.4649122807017544,53,114
Alessandro Luisi,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.31092436974789917,37,119
Roger Werksman,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5064935064935064,39,77
Peter Pokorny,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3305084745762712,39,118
Hidehiko Tanizawa,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,8
Jeson Patrombon,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3697478991596639,44,119
Frank Wintermantel,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,4
Kamala Kannan,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5,1,2
Masato Hatanaka,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,1
Jedrzej Zarski,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2,1,5
Glenn Knox,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2,1,5
Leonardo Silva,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,2
Valentino Pest,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.0,0,3
Johannes Unterberger,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.16666666666666666,1,6
Magnus Tideman,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2916666666666667,14,48
Luca Fantini,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.43283582089552236,29,67
Daniel Bagnolini,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3880597014925373,26,67
Mario Mansilla Diez,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3728813559322034,22,59
Daniel Batista,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3157894736842105,18,57
Luca Prevosto,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3644067796610169,43,118
Bill Bond,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.5789473684210527,77,133
Hamilton Richardson,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.73046875,187,256
Arkadiusz Kocyla,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3983050847457627,47,118
John Lamble,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.3739130434782609,43,115
Ivan Sabanov,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2796610169491525,33,118
Levente Godry,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2796610169491525,33,118
Scott Puodziunas,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.2966101694915254,35,118
Marlon Oliveira,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.30097087378640774,31,103
Joel Lindner,0,0 + 0 + 0 + 0,0,0 + 0 + 0 + 0,0,0,0,0,0 + 0,0.375,3,8
